id,name_en,qid,matched_label,match_flag,ko,ja,zh,de,fr,es,vi
8367,University of Dundee,Q1249005,University of Dundee,ok,던디 대학교,ダンディー大学,邓迪大学,University of Dundee,Université de Dundee,Universidad de Dundee,
8370,University of Edinburgh,Q160302,University of Edinburgh,ok,에든버러 대학교,エディンバラ大学,爱丁堡大学,Universität von Edinburgh,Université d'Édimbourg,Universidad de Edimburgo,Đại học Edinburgh
8372,University of Exeter,Q1414861,University of Exeter,ok,엑서터 대학교,エクセター大学,艾希特大學,University of Exeter,Université d'Exeter,Universidad de Exeter,Đại học Exeter
8374,Glasgow Caledonian University,Q1353139,Glasgow Caledonian University,ok,,グラスゴー・カレドニアン大学,格拉斯哥卡利多尼安大學,Glasgow Caledonian University,Université calédonienne de Glasgow,Universidad Glasgow Caledonian,
8375,University of Glasgow,Q192775,University of Glasgow,ok,글래스고 대학교,グラスゴー大学,格拉斯哥大學,Universität Glasgow,Université de Glasgow,Universidad de Glasgow,Đại học Glasgow
8379,University of Greenwich,Q1896148,University of Greenwich,ok,,グリニッジ大学,格林威治大學,University of Greenwich,Université de Greenwich,Universidad de Greenwich,Đại học Greenwich
8382,University of Hertfordshire,Q1745633,University of Hertfordshire,ok,하트포드셔 대학교,ハートフォードシャー大学,赫特福德大学,University of Hertfordshire,Université du Hertfordshire,Universidad de Hertfordshire,
8385,University of Huddersfield,Q3056815,University of Huddersfield,ok,허더스필드 대학교,ハダースフィールド大学,哈德斯菲尔德大学,University of Huddersfield,Université de Huddersfield,,
8386,University of Hull,Q1474019,University of Hull,ok,헐 대학교,ハル大学,赫爾大學,Universität Hull,Université de Hull,Universidad de Hull,
8388,Heriot-Watt University,Q1610024,Heriot-Watt University,ok,헤리엇 와트 대학교,ヘリオット・ワット大学,赫瑞瓦特大学,Heriot-Watt University,Université Heriot-Watt,Universidad Heriot-Watt,Đại học Heriot-Watt
8389,Imperial College London,Q189022,Imperial College London,ok,임페리얼 칼리지 런던,インペリアル・カレッジ・ロンドン,伦敦帝国学院,Imperial College London,Imperial College London,Escuela Imperial de Londres,
8395,Keele University,Q1737734,University of Keele,ok,,キール大学,基爾大學,Keele University,Université de Keele,Universidad de Keele,
8400,Loughborough University,Q1434547,Loughborough University,ok,러프버러 대학교,ラフバラー大学,羅浮堡大學,Loughborough University,Université de Loughborough,Universidad de Loughborough,
8402,University of Leicester,Q1333399,University of Leicester,ok,레스터 대학교,レスター大学,萊斯特大學,University of Leicester,Université de Leicester,Universidad de Leicester,
8403,University of Leeds,Q503424,University of Leeds,ok,리즈 대학교,リーズ大学,利兹大学,University of Leeds,Université de Leeds,Universidad de Leeds,Đại học Leeds
8406,University of Lincoln,Q2738646,University of Lincoln,ok,링컨 대학교,リンカーン大学 (イギリス),林肯大学,University of Lincoln,Université de Lincoln,,
8407,University of Liverpool,Q499510,University of Liverpool,ok,리버풀 대학교,リヴァプール大学,利物浦大学,University of Liverpool,Université de Liverpool,Universidad de Liverpool,Đại học Liverpool
8408,Liverpool John Moores University,Q1627967,Liverpool John Moores University,ok,리버풀 존 무어스 대학교,リバプールジョンムーア大学,利物浦約翰摩爾斯大學,Liverpool John Moores University,Université de Liverpool John-Moores,Universidad John Moores,Đại học Liverpool John Moores
8409,Leeds Beckett University,Q2392351,Leeds Beckett University,ok,리즈 베켓 대학교,リーズ・ベケット大学,利兹都会大学,Leeds Beckett University,Université de Leeds Beckett,,Đại Học Leeds Metropolitan
8410,University of London,Q170027,University of London,ok,런던 대학교,ロンドン大学,倫敦大學,University of London,Université de Londres,Universidad de Londres,Đại học London
8411,London Metropolitan University,Q1869028,London Metropolitan University,ok,런던 메트로폴리탄 대학교,ロンドン・メトロポリタン大学,倫敦都會大學,London Metropolitan University,Université métropolitaine de Londres,Universidad Metropolitana de Londres,
8415,University of Manchester,Q230899,University of Manchester,ok,맨체스터 대학교,マンチェスター大学,曼徹斯特大學,University of Manchester,Université de Manchester,Universidad de Mánchester,Đại học Manchester
8419,Edinburgh Napier University,Q1277357,Edinburgh Napier University,ok,,エディンバラ・ネピア大学,愛丁堡納皮爾大學,Edinburgh Napier University,Université Napier d'Édimbourg,Edinburgh Napier University,
8420,Newcastle University,Q837164,Newcastle University,ok,뉴캐슬 대학교,ニューカッスル大学,纽卡斯尔大学,Newcastle University,Université de Newcastle upon Tyne,Universidad de Newcastle upon Tyne,
